reading frame: 1.253835 ms	encoding took: 19.856873 ms	streaming took: 1.270337 ms
reading frame: 16.667425 ms	encoding took: 46.536407 ms	streaming took: 2.499536 ms
reading frame: 1.496811 ms	encoding took: 6.908895 ms	streaming took: 3.780157 ms
reading frame: 1.432334 ms	encoding took: 7.695786 ms	streaming took: 5.626927 ms
reading frame: 28.095146 ms	encoding took: 9.911207 ms	streaming took: 0.112290 ms
reading frame: 17.745500 ms	encoding took: 8.409633 ms	streaming took: 3.859783 ms
reading frame: 20.510019 ms	encoding took: 7.657541 ms	streaming took: 0.141905 ms
reading frame: 24.691463 ms	encoding took: 6.661576 ms	streaming took: 0.119519 ms
reading frame: 28.995939 ms	encoding took: 5.587148 ms	streaming took: 0.082001 ms
reading frame: 25.985400 ms	encoding took: 5.595800 ms	streaming took: 0.111597 ms
reading frame: 30.512982 ms	encoding took: 6.718717 ms	streaming took: 0.115050 ms
reading frame: 25.062428 ms	encoding took: 6.378191 ms	streaming took: 0.119220 ms
reading frame: 29.658869 ms	encoding took: 7.428714 ms	streaming took: 0.126611 ms
reading frame: 24.182064 ms	encoding took: 6.073934 ms	streaming took: 0.097649 ms
reading frame: 29.855639 ms	encoding took: 7.721351 ms	streaming took: 0.146600 ms
reading frame: 24.267073 ms	encoding took: 5.902010 ms	streaming took: 0.121451 ms
reading frame: 29.490284 ms	encoding took: 6.345112 ms	streaming took: 0.087679 ms
reading frame: 25.849709 ms	encoding took: 7.432458 ms	streaming took: 0.126960 ms
reading frame: 28.324089 ms	encoding took: 5.699910 ms	streaming took: 0.118461 ms
reading frame: 26.218340 ms	encoding took: 5.640675 ms	streaming took: 0.099806 ms
reading frame: 30.186230 ms	encoding took: 5.315465 ms	streaming took: 0.108148 ms
reading frame: 26.490292 ms	encoding took: 5.731780 ms	streaming took: 0.093835 ms
reading frame: 29.923584 ms	encoding took: 7.886587 ms	streaming took: 0.117277 ms
reading frame: 24.172405 ms	encoding took: 5.197815 ms	streaming took: 0.092348 ms
reading frame: 30.550109 ms	encoding took: 5.047290 ms	streaming took: 0.105031 ms
reading frame: 27.245798 ms	encoding took: 7.099586 ms	streaming took: 0.082552 ms
reading frame: 28.036874 ms	encoding took: 8.183403 ms	streaming took: 0.112904 ms
